Date,Y
2020/5/27,23.92
2020/5/28,23.950001
2020/5/29,24
2020/6/1,24.780001
2020/6/2,23.950001
2020/6/3,23.219999
2020/6/4,23.43
2020/6/5,23.290001
2020/6/8,23.559999
2020/6/9,24.33
2020/6/10,25.08
2020/6/11,24.309999
2020/6/12,24.07
2020/6/15,24.74
2020/6/16,24.379999
2020/6/17,24.25
2020/6/18,23.940001
2020/6/19,24.49
2020/6/22,25.450001
2020/6/23,25.68
2020/6/24,25.709999
2020/6/25,25.73
2020/6/26,25.870001
2020/6/29,26.129999
2020/6/30,26.940001
2020/7/1,26.809999
2020/7/2,26.27
2020/7/6,26.610001
2020/7/7,27.02
2020/7/8,27.719999
2020/7/9,27.59
2020/7/10,27.110001
2020/7/13,26.129999
2020/7/14,27.049999
2020/7/15,27.09
2020/7/16,26.690001
2020/7/17,27.34
2020/7/20,28.120001
2020/7/21,28.23
2020/7/22,28.52
2020/7/23,27.99
2020/7/24,28.440001
2020/7/27,29.91
2020/7/28,29.59
2020/7/29,28.780001
2020/7/30,28.25
2020/7/31,28.91
2020/8/3,28.719999
2020/8/4,29.75
2020/8/5,29.84
2020/8/6,29.5
2020/8/7,28.870001
2020/8/10,28.719999
2020/8/11,26.25
2020/8/12,26.18
2020/8/13,27.139999
2020/8/14,26.99
2020/8/17,30.129999
2020/8/18,30.040001
2020/8/19,28.98
2020/8/20,29.950001
2020/8/21,29.309999
2020/8/24,28.969999
2020/8/25,28.75
2020/8/26,29.370001
2020/8/27,28.58
2020/8/28,29.200001
2020/8/31,29.65
2020/9/1,29.33
2020/9/2,29.610001
2020/9/3,29.26
2020/9/4,29.049999
2020/9/8,29.200001
2020/9/9,30.459999
2020/9/10,30.110001
2020/9/11,29.75
2020/9/14,29.93
2020/9/15,29.99
2020/9/16,29.99
2020/9/17,29.139999
2020/9/18,28.889999
2020/9/21,28.190001
2020/9/22,28.42
2020/9/23,27.139999
2020/9/24,27.65
2020/9/25,27.700001
2020/9/28,27.76
2020/9/29,28.280001
2020/9/30,28.110001
2020/10/1,28.26
2020/10/2,27.889999
2020/10/5,28.370001
2020/10/6,27.059999
2020/10/7,26.950001
2020/10/8,27.27
2020/10/9,28.049999
2020/10/12,28.040001
2020/10/13,27.959999
2020/10/14,28.309999
2020/10/15,27.75
2020/10/16,27.57
2020/10/19,27.02
2020/10/20,27.07
2020/10/21,27.370001
2020/10/22,26.889999
2020/10/23,26.809999
2020/10/26,26.629999
2020/10/27,27.09
2020/10/28,25.92
2020/10/29,26.17
2020/10/30,26.73
2020/11/2,27.16
2020/11/3,27.780001
2020/11/4,27.42
2020/11/5,29.32
2020/11/6,28.870001
2020/11/9,26.9
2020/11/10,25.940001
2020/11/11,25.790001
2020/11/12,25.91
2020/11/13,25.889999
2020/11/16,25.860001
2020/11/17,25.370001
2020/11/18,24.459999
2020/11/19,24.18
2020/11/20,24.280001
2020/11/23,23.24
2020/11/24,22.790001
2020/11/25,22.83
2020/11/27,22.690001
2020/11/30,23.139999
2020/12/1,23.83
2020/12/2,23.959999
2020/12/3,23.610001
2020/12/4,23.5
2020/12/7,23.950001
2020/12/8,23.9
2020/12/9,23.360001
2020/12/10,23.09
2020/12/11,22.9
2020/12/14,22.440001
2020/12/15,22.870001
2020/12/16,23.07
2020/12/17,23.59
2020/12/18,23.27
2020/12/21,23.02
2020/12/22,22.52
2020/12/23,22.83
2020/12/24,22.9
2020/12/28,22.84
2020/12/29,22.91
2020/12/30,23.24
2020/12/31,22.780001
2021/1/4,24.620001
2021/1/5,24.280001
2021/1/6,24.5
2021/1/7,24.77
2021/1/8,23.969999
2021/1/11,23.52
2021/1/12,23.540001
2021/1/13,23.6
2021/1/14,23.68
2021/1/15,23.139999
2021/1/19,23.389999
2021/1/20,23.83
2021/1/21,23.68
2021/1/22,23.469999
2021/1/25,23.440001
2021/1/26,23.280001
2021/1/27,21.99
2021/1/28,22.360001
2021/1/29,22.370001
2021/2/1,22.540001
2021/2/2,22.34
2021/2/3,22.34
2021/2/4,21.99
2021/2/5,22.33
2021/2/8,22.459999
2021/2/9,22.43
2021/2/10,22.51
2021/2/11,22.190001
2021/2/12,22.15
2021/2/16,21.700001
2021/2/17,20.83
2021/2/18,20.32
2021/2/19,19.780001
2021/2/22,20.530001
2021/2/23,20.16
2021/2/24,20.1
2021/2/25,19.450001
2021/2/26,18.67
2021/3/1,18.969999
2021/3/2,19.860001
